School,Gender,Address,Family_Size,Parental_Status,School_Support,Family_Support,Extra_Paid_Class,Extra_Curricular_Activities,Attended_Nursery,Wants_Higher_Education,Internet_Access,In_Relationship,Mother_Job,Father_Job,Reason_for_Choosing_School,Guardian,Age,Study_Time,Failures,Absences,G1,G2,G3,Dropped_Out
GP,M,U,GT3,T,yes,yes,yes,no,no,no,yes,yes,health,services,home,father,16,3,1,86,8,5,4,1
GP,F,R,GT3,T,yes,yes,no,no,no,yes,yes,yes,at_home,teacher,course,other,17,2,0,91,18,21,19,0
GP,M,U,GT3,A,yes,no,no,yes,no,yes,yes,yes,at_home,teacher,reputation,other,16,4,2,75,13,10,7,1
MS,F,R,LE3,T,yes,yes,no,no,no,no,no,no,other,other,home,father,17,1,2,7,11,12,10,1
GP,M,R,GT3,A,yes,yes,no,yes,yes,yes,no,no,at_home,services,course,mother,17,2,1,98,19,21,18,0
GP,F,U,GT3,A,no,yes,no,no,no,yes,no,no,at_home,services,other,other,16,4,3,24,7,5,4,1
MS,M,R,GT3,A,no,yes,no,no,yes,no,no,no,teacher,other,reputation,other,19,2,3,93,5,8,9,1
MS,M,R,LE3,T,no,yes,yes,yes,no,no,no,no,services,teacher,course,father,20,2,0,62,15,16,17,0
GP,M,U,GT3,A,yes,no,yes,no,no,yes,no,no,services,other,reputation,father,15,1,1,31,10,7,6,1
MS,F,U,GT3,T,no,no,yes,no,yes,yes,no,no,health,teacher,course,mother,20,2,2,99,13,13,10,1
GP,F,R,LE3,T,yes,yes,no,no,yes,no,no,yes,services,teacher,home,other,21,4,0,31,8,5,4,1
GP,F,U,GT3,T,no,yes,no,yes,yes,yes,yes,yes,at_home,teacher,other,father,16,2,0,52,15,13,16,0
GP,M,R,LE3,T,no,no,yes,yes,yes,yes,yes,no,teacher,services,course,father,15,1,1,24,11,9,6,1
GP,F,R,LE3,A,yes,no,yes,yes,no,yes,yes,no,services,other,reputation,mother,21,2,0,25,7,5,7,1
MS,M,U,GT3,A,no,yes,no,yes,no,yes,no,yes,at_home,teacher,other,mother,20,3,2,7,5,3,6,1
GP,F,U,LE3,A,no,no,yes,yes,yes,no,yes,yes,at_home,at_home,other,other,20,1,2,68,17,20,19,0
MS,F,R,GT3,A,no,no,yes,yes,no,no,yes,no,other,teacher,other,father,17,2,2,1,18,18,21,0
MS,F,U,GT3,T,no,yes,yes,yes,no,yes,no,no,other,teacher,home,father,19,3,3,18,9,12,15,1
MS,F,U,GT3,T,no,no,yes,no,yes,no,no,yes,services,teacher,home,other,16,3,0,66,5,6,8,1
MS,M,R,GT3,T,yes,yes,yes,yes,yes,no,yes,no,other,health,course,mother,19,1,0,75,6,5,8,1
GP,F,R,LE3,T,no,yes,no,no,yes,yes,no,yes,at_home,at_home,home,other,16,1,2,95,11,12,10,1
MS,F,R,GT3,A,yes,no,yes,yes,yes,no,no,yes,at_home,services,other,other,20,2,3,69,19,16,18,1
GP,M,R,GT3,A,yes,yes,no,no,yes,yes,no,yes,other,other,reputation,other,18,4,1,7,5,3,2,1
MS,M,R,GT3,T,yes,no,yes,yes,no,yes,no,no,teacher,other,other,mother,16,1,2,58,10,8,5,1
MS,F,R,LE3,T,no,yes,yes,yes,yes,no,no,no,other,other,other,mother,15,2,1,4,11,10,10,1
GP,F,U,LE3,T,yes,no,no,yes,yes,no,yes,yes,teacher,services,home,father,18,3,2,76,8,11,13,1
GP,M,R,GT3,T,yes,no,no,no,no,no,no,no,other,teacher,reputation,father,17,3,1,30,8,11,12,1
GP,M,U,LE3,A,no,yes,yes,no,yes,yes,no,no,at_home,at_home,other,other,20,2,3,12,6,7,7,1
MS,M,U,LE3,T,no,yes,yes,no,no,yes,no,no,at_home,other,reputation,father,21,1,1,0,18,15,14,0
MS,F,R,GT3,A,yes,yes,no,yes,yes,no,no,no,other,health,reputation,mother,16,2,0,45,9,7,4,1
GP,F,U,GT3,A,no,no,no,no,yes,no,yes,no,health,health,other,father,20,2,1,3,16,19,20,0
GP,F,R,GT3,T,no,no,no,no,no,yes,no,no,teacher,at_home,home,father,15,1,3,19,11,13,12,1
GP,M,U,GT3,T,no,yes,yes,no,no,no,no,no,health,other,home,mother,21,4,0,92,18,17,17,0
GP,M,R,GT3,A,yes,no,yes,yes,no,yes,no,yes,at_home,teacher,course,father,17,4,2,31,8,7,8,1
MS,M,R,LE3,A,no,no,no,no,yes,yes,yes,no,teacher,other,other,mother,15,4,1,96,19,21,20,0
GP,F,R,GT3,T,no,yes,no,no,yes,no,yes,no,other,teacher,other,father,17,2,3,77,12,9,10,1
GP,M,R,GT3,A,no,yes,yes,yes,yes,yes,no,yes,teacher,other,reputation,father,20,1,3,82,19,18,16,1
GP,F,U,GT3,T,no,no,yes,yes,no,yes,yes,no,teacher,health,reputation,other,16,4,1,2,12,14,17,0
GP,M,U,GT3,T,no,yes,no,no,no,no,no,no,services,services,course,father,21,1,3,51,15,14,15,1
MS,F,U,GT3,A,no,no,no,no,yes,yes,yes,no,teacher,at_home,course,other,21,4,2,10,11,12,10,1
GP,F,U,LE3,A,no,no,no,no,yes,no,yes,yes,at_home,teacher,reputation,father,21,3,3,8,18,16,18,0
MS,M,U,GT3,T,yes,no,yes,no,no,yes,yes,yes,health,services,reputation,other,19,3,2,56,7,8,9,1
GP,F,R,LE3,T,no,no,yes,no,no,no,yes,yes,health,teacher,course,father,17,1,1,61,14,13,14,1
GP,M,R,GT3,A,yes,no,yes,no,no,no,no,yes,other,at_home,home,mother,21,4,3,55,16,16,17,1
MS,F,R,GT3,A,yes,no,yes,yes,yes,yes,yes,yes,services,services,course,father,20,1,1,50,13,10,8,1
GP,M,R,GT3,A,yes,yes,yes,yes,yes,no,no,yes,health,services,reputation,mother,19,1,0,91,17,20,19,0
MS,M,R,LE3,A,yes,yes,yes,no,no,yes,no,yes,health,at_home,other,mother,21,1,0,1,12,11,11,0
MS,F,U,GT3,T,no,yes,no,no,no,yes,no,yes,teacher,at_home,reputation,other,17,2,1,76,14,13,14,1
GP,M,R,GT3,T,no,no,yes,yes,yes,no,yes,yes,at_home,teacher,home,mother,19,4,1,98,5,7,9,1
MS,F,R,GT3,T,yes,no,yes,yes,no,yes,no,yes,at_home,services,reputation,mother,16,4,2,94,13,14,14,1
MS,M,U,GT3,A,yes,yes,yes,no,no,no,no,no,other,at_home,reputation,other,15,1,2,77,11,8,8,1
MS,M,U,GT3,A,no,yes,yes,yes,no,yes,no,no,at_home,teacher,course,father,16,3,0,14,14,16,17,0
MS,M,R,GT3,T,yes,yes,no,no,no,yes,no,no,health,other,home,father,17,1,3,68,14,12,10,1
MS,M,R,GT3,A,yes,no,yes,no,yes,no,yes,no,teacher,at_home,course,mother,21,3,0,38,19,16,13,0
MS,F,U,LE3,A,no,yes,yes,no,no,no,no,no,at_home,services,other,other,18,4,3,33,8,7,4,1
MS,M,R,GT3,A,no,no,yes,no,yes,no,no,yes,services,other,other,father,15,4,2,42,9,10,7,1
MS,M,R,GT3,A,no,yes,no,no,no,no,yes,yes,services,at_home,home,other,21,1,2,65,11,14,15,1
GP,F,R,GT3,A,yes,no,yes,no,yes,no,yes,yes,services,health,other,other,19,2,2,44,12,12,12,1
GP,F,U,LE3,A,yes,yes,no,yes,yes,yes,yes,no,at_home,services,other,mother,15,4,3,96,18,17,14,1
MS,F,R,LE3,T,no,no,yes,yes,no,no,no,no,teacher,services,reputation,other,15,4,2,26,8,5,8,1
GP,F,R,GT3,T,no,yes,yes,no,yes,yes,no,no,at_home,teacher,course,mother,21,4,3,66,11,13,15,1
MS,F,U,LE3,T,no,no,yes,yes,yes,yes,no,yes,health,health,course,other,16,2,3,61,18,20,21,0
MS,F,U,GT3,T,no,yes,yes,no,no,no,yes,no,at_home,at_home,course,mother,17,4,3,63,10,13,14,1
GP,M,U,GT3,A,yes,yes,no,yes,no,no,yes,yes,services,health,home,father,20,1,3,1,13,10,11,1
MS,F,R,LE3,T,yes,no,no,no,yes,no,yes,no,services,at_home,reputation,other,20,3,2,27,18,18,16,0
MS,M,U,GT3,T,no,yes,yes,yes,no,yes,yes,yes,teacher,teacher,reputation,mother,16,4,2,93,8,5,7,1
MS,F,R,LE3,T,yes,no,no,yes,yes,no,yes,yes,other,other,home,father,17,4,0,40,8,10,9,1
MS,M,U,LE3,T,yes,no,no,no,yes,yes,yes,no,services,health,course,mother,18,2,2,86,17,14,12,1
GP,M,R,LE3,A,no,yes,yes,yes,yes,yes,no,no,services,services,reputation,mother,16,3,3,96,7,9,9,1
MS,M,U,GT3,A,no,no,yes,no,no,yes,no,yes,other,at_home,reputation,mother,21,3,1,51,17,20,21,0
MS,F,R,GT3,T,no,yes,yes,yes,no,no,yes,no,at_home,health,course,mother,18,2,3,13,19,20,18,0
MS,F,R,GT3,T,yes,yes,yes,yes,yes,yes,yes,no,services,at_home,other,mother,17,1,1,60,12,9,6,1
GP,F,U,GT3,A,no,no,no,no,no,yes,no,yes,teacher,health,home,other,15,4,3,77,19,17,20,1
MS,F,U,GT3,A,no,yes,no,no,no,no,no,yes,at_home,services,reputation,father,18,3,1,49,12,12,15,0
GP,M,R,GT3,T,yes,no,yes,yes,yes,yes,no,no,at_home,at_home,course,father,18,3,1,12,8,7,6,1
GP,F,U,GT3,A,yes,no,no,no,no,yes,yes,yes,services,at_home,other,father,21,1,0,67,7,10,13,0
MS,M,R,LE3,A,no,yes,yes,yes,yes,no,yes,no,at_home,other,course,other,17,1,1,18,10,10,11,1
MS,M,U,GT3,T,no,yes,no,no,yes,yes,yes,yes,at_home,teacher,course,mother,17,4,0,87,13,15,13,1
GP,F,U,GT3,A,yes,no,yes,no,no,yes,no,no,teacher,health,other,other,21,2,3,35,12,11,8,1
MS,F,R,GT3,T,yes,yes,no,no,no,no,no,yes,at_home,services,home,mother,16,2,3,69,11,12,15,1
GP,F,U,LE3,T,yes,yes,yes,no,yes,yes,no,no,services,other,reputation,other,16,1,1,11,11,8,5,1
GP,M,U,LE3,A,no,yes,yes,no,no,yes,no,no,services,other,home,father,17,1,3,72,9,11,14,1
MS,F,R,LE3,A,no,yes,yes,yes,no,no,yes,no,other,teacher,home,other,18,3,2,12,19,18,16,0
MS,M,R,GT3,A,no,yes,no,no,no,no,yes,no,health,services,course,mother,21,1,2,23,6,5,3,1
GP,F,U,LE3,A,yes,yes,yes,yes,no,no,yes,yes,other,health,course,father,19,3,2,45,13,14,17,0
GP,M,R,LE3,A,yes,yes,no,yes,yes,no,yes,no,teacher,at_home,course,father,16,2,3,14,7,9,11,1
GP,F,U,GT3,A,no,no,yes,no,no,yes,yes,yes,teacher,teacher,home,mother,17,2,2,45,13,13,15,1
GP,F,U,GT3,T,yes,no,yes,no,no,yes,yes,yes,services,at_home,reputation,mother,19,3,0,93,14,16,18,0
MS,M,R,GT3,A,yes,no,yes,no,no,yes,yes,yes,health,other,course,other,19,4,3,95,6,6,8,1
MS,F,R,LE3,T,no,no,no,yes,yes,yes,yes,yes,other,at_home,other,mother,21,2,2,95,19,19,19,1
MS,F,R,GT3,A,yes,yes,no,no,no,no,yes,yes,health,health,reputation,mother,19,4,3,97,17,14,15,1
MS,F,R,GT3,A,yes,no,yes,no,no,no,yes,yes,services,health,reputation,mother,19,3,2,34,18,19,21,0
MS,F,R,GT3,A,no,no,yes,no,yes,no,yes,no,at_home,at_home,reputation,father,15,4,0,17,17,16,13,0
GP,F,R,GT3,A,yes,no,yes,no,yes,no,no,no,services,at_home,other,mother,16,3,1,82,16,16,19,0
MS,F,U,GT3,A,no,no,no,yes,yes,no,yes,no,services,teacher,other,father,19,3,0,78,16,16,16,0
MS,F,U,GT3,T,no,yes,no,no,yes,no,no,yes,health,health,course,father,19,1,1,21,5,5,2,1
MS,M,R,LE3,T,yes,no,no,no,no,no,no,no,teacher,at_home,reputation,father,21,2,2,24,19,17,15,0
MS,M,U,GT3,T,yes,no,no,yes,no,no,yes,no,at_home,services,home,mother,17,2,0,23,14,11,8,1
MS,F,U,LE3,A,yes,yes,yes,yes,yes,yes,yes,no,at_home,teacher,home,mother,20,3,1,5,11,11,14,0
GP,F,U,LE3,A,yes,yes,no,no,yes,yes,yes,yes,teacher,teacher,home,father,17,4,0,35,5,7,4,1
GP,F,U,GT3,A,no,no,yes,no,no,no,no,yes,health,teacher,course,other,20,1,3,9,12,10,11,1
GP,M,R,LE3,T,no,no,yes,no,yes,yes,no,no,health,teacher,home,other,15,4,1,11,7,10,8,1
MS,M,U,LE3,T,yes,no,yes,yes,no,yes,yes,no,teacher,at_home,reputation,other,19,2,2,68,7,8,5,1
GP,F,U,LE3,A,no,yes,no,yes,no,yes,no,no,other,other,course,mother,15,4,3,19,16,15,14,1
GP,M,R,GT3,T,no,no,no,yes,yes,no,yes,no,health,services,course,father,21,1,2,36,18,18,18,0
MS,F,R,LE3,A,yes,yes,yes,no,no,yes,yes,yes,teacher,other,other,mother,20,4,2,17,13,10,12,1
MS,F,R,LE3,A,yes,no,no,yes,no,yes,no,yes,other,other,reputation,father,21,2,3,96,15,15,17,1
MS,F,R,LE3,T,no,yes,no,yes,no,yes,yes,no,services,at_home,home,other,17,3,1,40,16,13,10,1
GP,F,U,LE3,T,no,no,yes,yes,yes,no,yes,no,at_home,teacher,reputation,mother,20,2,3,11,5,3,0,1
GP,M,R,GT3,T,yes,yes,yes,no,yes,yes,no,yes,teacher,teacher,reputation,other,16,1,2,96,11,8,8,1
MS,M,U,GT3,T,no,yes,yes,no,yes,no,no,yes,health,at_home,course,father,18,3,0,68,6,8,5,1
MS,F,U,LE3,A,yes,yes,yes,yes,no,no,no,no,at_home,at_home,home,other,18,1,1,72,15,16,14,1
GP,M,R,GT3,A,no,yes,no,no,yes,yes,yes,yes,other,health,home,father,20,2,0,96,18,15,12,1
GP,M,R,GT3,T,no,yes,no,yes,yes,no,no,yes,at_home,teacher,home,mother,15,4,1,63,7,9,7,1
MS,F,R,LE3,T,no,yes,yes,no,no,no,yes,no,teacher,services,other,mother,17,2,1,29,19,18,21,0
MS,M,R,GT3,T,no,yes,no,no,no,no,yes,no,services,health,reputation,other,21,4,0,16,14,12,10,0
GP,F,R,GT3,T,yes,yes,no,yes,no,yes,no,yes,other,other,course,mother,18,3,2,34,19,16,14,1
MS,F,R,LE3,A,yes,yes,yes,yes,yes,no,yes,no,other,teacher,course,father,19,4,3,79,16,16,18,1
GP,F,U,LE3,A,yes,no,yes,yes,yes,yes,yes,yes,other,at_home,course,father,16,4,0,39,12,15,15,0
GP,F,U,GT3,A,yes,yes,no,no,yes,no,yes,no,at_home,at_home,home,other,17,3,2,18,7,8,11,1
GP,M,U,GT3,A,yes,no,no,yes,no,yes,yes,no,services,at_home,home,father,15,1,0,59,6,9,7,1
GP,F,U,GT3,A,yes,no,no,no,no,no,no,yes,teacher,teacher,course,mother,21,3,3,46,11,10,7,1
MS,M,R,GT3,A,no,no,no,yes,yes,yes,no,no,teacher,services,reputation,other,17,1,3,1,16,13,14,1
MS,F,R,LE3,A,no,yes,yes,yes,no,no,yes,no,at_home,at_home,course,other,21,3,1,69,17,14,12,1
GP,F,U,LE3,T,yes,yes,yes,no,yes,yes,no,no,teacher,teacher,reputation,mother,16,4,0,41,16,15,12,0
GP,M,U,LE3,A,yes,no,no,no,no,yes,no,yes,teacher,other,course,mother,20,2,0,59,7,6,3,1
GP,F,U,LE3,T,no,no,yes,no,no,yes,yes,yes,services,health,reputation,mother,17,4,1,10,12,9,8,1
GP,M,R,LE3,T,no,no,no,yes,no,yes,yes,yes,at_home,teacher,course,other,20,1,2,72,8,8,5,1
GP,M,R,GT3,T,yes,yes,no,yes,yes,yes,yes,no,at_home,teacher,other,other,15,2,2,26,10,10,9,1
MS,F,R,GT3,A,no,no,yes,no,no,yes,yes,yes,other,at_home,other,father,19,4,1,13,15,15,12,0
MS,F,U,LE3,A,yes,yes,no,no,no,no,no,yes,teacher,health,home,other,17,4,2,98,16,13,11,1
MS,F,U,LE3,A,no,no,no,no,no,yes,yes,no,health,health,home,other,15,2,2,83,17,15,17,1
MS,F,R,LE3,A,yes,no,no,yes,yes,yes,no,no,services,at_home,home,father,20,4,2,58,12,9,8,1
GP,F,R,GT3,T,no,yes,yes,no,yes,yes,no,yes,services,services,home,other,20,1,1,95,8,6,5,1
GP,F,U,GT3,A,yes,no,no,no,yes,no,yes,no,health,teacher,course,father,19,3,3,7,9,9,12,1
GP,M,U,GT3,T,no,no,yes,no,no,yes,yes,no,other,at_home,other,father,18,1,1,74,7,4,3,1
GP,M,R,LE3,A,no,no,yes,yes,no,no,no,no,health,services,home,father,17,4,0,65,19,21,19,0
GP,F,U,LE3,A,yes,yes,yes,no,no,yes,no,yes,health,at_home,reputation,mother,19,2,0,4,8,8,9,0
MS,M,R,LE3,T,no,no,no,yes,no,no,yes,no,other,other,reputation,mother,20,2,0,29,14,11,9,0
GP,M,R,LE3,T,no,yes,no,yes,no,no,yes,no,health,services,home,other,18,2,2,74,12,12,15,1
MS,F,U,LE3,T,yes,no,yes,no,no,no,no,no,other,services,home,father,21,4,0,79,11,10,11,1
MS,F,U,GT3,A,yes,no,yes,yes,no,no,no,yes,teacher,health,home,mother,20,2,2,24,10,12,10,1
MS,M,U,LE3,A,no,no,no,no,no,no,yes,no,other,teacher,course,father,21,1,2,24,9,6,3,1
MS,F,R,GT3,T,yes,yes,no,no,yes,no,no,no,at_home,at_home,reputation,father,17,1,2,74,13,11,9,1
GP,M,U,GT3,A,no,yes,yes,yes,no,yes,yes,yes,at_home,at_home,reputation,mother,17,4,0,61,17,17,18,0
MS,F,U,GT3,T,no,no,no,no,no,yes,yes,no,health,teacher,reputation,father,16,1,0,64,16,18,18,0
MS,M,R,GT3,A,no,yes,yes,no,no,no,yes,yes,at_home,teacher,other,other,17,1,0,96,17,19,22,0
MS,M,R,GT3,T,no,no,yes,yes,yes,no,no,no,other,health,course,other,17,2,2,0,8,10,7,1
GP,M,U,LE3,T,no,yes,yes,no,no,no,no,no,teacher,teacher,other,other,19,3,2,46,7,8,7,1
GP,M,R,LE3,A,no,no,no,no,no,yes,yes,yes,other,other,course,other,15,1,3,72,15,13,11,1
GP,F,R,LE3,T,yes,no,yes,yes,yes,yes,yes,no,services,health,reputation,mother,16,4,3,26,10,11,13,1
MS,F,R,GT3,A,yes,yes,no,yes,no,yes,no,no,health,services,reputation,mother,17,2,1,37,6,6,3,1
MS,M,U,GT3,A,no,yes,yes,no,no,no,no,no,teacher,teacher,other,other,19,1,1,18,13,15,16,0
GP,M,U,GT3,T,no,no,no,no,no,yes,no,yes,health,services,reputation,mother,20,4,2,39,10,13,12,1
MS,F,R,GT3,T,no,yes,no,yes,no,no,no,yes,services,health,home,other,21,4,1,80,7,4,5,1
GP,F,R,GT3,A,no,no,no,yes,yes,no,no,yes,at_home,other,course,mother,20,2,3,11,6,3,0,1
GP,M,R,GT3,A,yes,no,no,no,yes,yes,no,yes,services,other,reputation,mother,21,4,3,65,13,10,7,1
MS,M,U,LE3,T,yes,no,no,no,yes,yes,no,yes,at_home,teacher,home,father,19,3,2,71,14,15,12,1
MS,M,R,GT3,T,yes,yes,yes,no,yes,no,yes,no,health,other,other,other,21,3,1,32,7,9,6,1
MS,M,R,GT3,T,yes,no,no,yes,yes,no,yes,no,health,at_home,reputation,father,15,1,2,12,10,13,14,0
MS,M,U,LE3,A,no,no,no,yes,yes,yes,yes,yes,health,health,reputation,other,18,3,1,42,13,16,16,0
GP,F,R,GT3,A,no,yes,yes,yes,no,yes,yes,yes,other,other,course,mother,17,2,2,20,7,7,4,1
GP,M,U,LE3,A,yes,yes,no,yes,yes,yes,no,yes,teacher,health,reputation,other,21,2,3,82,16,15,18,1
GP,F,U,LE3,T,yes,no,yes,no,yes,no,no,no,other,health,course,father,18,1,0,33,18,21,20,0
GP,F,U,LE3,T,no,yes,no,no,yes,yes,no,no,services,at_home,other,father,15,3,1,29,13,10,11,1
GP,F,R,GT3,A,yes,no,yes,yes,no,yes,yes,no,teacher,teacher,course,mother,19,4,2,19,6,6,4,1
MS,M,R,LE3,A,yes,yes,no,yes,yes,no,yes,yes,health,health,other,father,18,4,3,81,8,7,5,1
GP,F,U,LE3,T,yes,yes,no,yes,no,yes,no,yes,health,at_home,reputation,mother,15,3,3,84,14,13,14,1
GP,F,R,GT3,A,no,no,yes,yes,no,no,no,no,health,other,home,mother,18,2,3,35,7,10,11,1
GP,F,U,LE3,T,no,no,yes,yes,no,no,yes,no,at_home,services,other,mother,20,2,0,6,11,11,8,0
MS,F,R,GT3,T,no,yes,yes,no,yes,no,yes,no,services,teacher,reputation,mother,19,2,2,68,15,12,15,1
MS,M,U,GT3,T,no,no,no,yes,yes,yes,no,yes,other,services,other,mother,17,2,0,8,8,5,6,1
MS,M,U,LE3,A,no,no,yes,yes,no,no,yes,yes,services,at_home,reputation,father,20,3,2,44,8,6,5,1
MS,F,R,GT3,A,yes,yes,yes,no,no,no,yes,no,at_home,health,reputation,father,20,1,3,17,5,5,3,1
GP,F,R,GT3,T,yes,yes,yes,no,no,no,no,yes,at_home,at_home,home,father,16,3,2,46,14,16,15,1
GP,M,R,LE3,T,yes,no,no,yes,no,no,yes,no,services,teacher,course,father,20,3,3,0,17,16,19,0
MS,M,R,LE3,A,no,no,yes,no,no,yes,yes,yes,at_home,teacher,home,mother,19,2,2,99,7,8,10,1
MS,M,U,LE3,T,yes,yes,yes,yes,no,yes,yes,yes,teacher,other,other,other,21,2,1,77,9,10,13,1
GP,F,U,LE3,A,no,no,yes,yes,yes,no,yes,no,health,at_home,home,other,18,2,0,71,9,11,10,1
GP,M,R,GT3,A,no,yes,no,yes,no,no,no,yes,other,teacher,reputation,other,17,1,0,52,8,11,8,1
MS,F,R,LE3,A,no,no,yes,no,no,yes,yes,yes,at_home,at_home,reputation,other,16,1,0,36,11,8,10,0
MS,F,U,LE3,T,no,no,no,no,no,yes,no,yes,other,other,home,father,20,2,1,19,14,12,15,0
MS,M,R,LE3,T,no,no,yes,no,no,yes,yes,no,health,other,other,mother,15,2,1,94,17,19,20,0
MS,F,R,GT3,T,yes,no,yes,no,yes,yes,no,yes,services,at_home,course,father,17,3,3,70,14,17,19,1
GP,M,R,GT3,T,yes,yes,no,yes,yes,yes,no,no,health,teacher,course,father,19,3,3,57,8,11,9,1
GP,F,R,GT3,A,yes,no,yes,no,yes,no,yes,yes,other,health,reputation,father,18,3,0,40,11,12,10,1
GP,M,U,GT3,T,no,yes,yes,yes,no,yes,yes,yes,teacher,health,course,mother,20,2,1,37,10,7,5,1
MS,F,U,GT3,A,no,yes,no,yes,no,no,no,yes,services,other,course,father,16,3,1,43,18,16,15,0
MS,F,R,LE3,T,no,no,no,no,no,no,no,no,at_home,teacher,other,mother,20,4,0,14,18,19,21,0
GP,M,U,GT3,T,no,yes,no,no,no,no,no,no,teacher,other,course,other,17,1,2,34,10,9,7,1
GP,M,R,GT3,T,no,yes,yes,yes,no,no,yes,yes,health,other,home,father,21,3,3,80,9,10,8,1
GP,M,R,GT3,T,no,no,yes,yes,yes,yes,no,yes,other,other,other,mother,16,1,3,26,17,18,17,1
GP,M,R,LE3,T,yes,no,yes,yes,yes,no,no,yes,other,other,home,father,21,3,2,20,15,16,13,1
MS,F,U,LE3,A,no,no,yes,no,yes,no,yes,no,other,at_home,reputation,other,16,1,0,39,19,22,21,0
GP,M,U,GT3,T,no,yes,yes,yes,yes,no,no,yes,health,at_home,other,mother,17,2,1,43,19,20,23,0
GP,M,U,LE3,T,no,yes,no,yes,no,yes,no,no,services,teacher,course,other,21,4,3,89,17,14,13,1
GP,F,U,GT3,T,yes,no,no,yes,yes,yes,yes,no,at_home,teacher,other,other,20,1,1,43,12,12,14,0
GP,M,U,LE3,T,yes,yes,yes,no,no,no,no,yes,teacher,services,reputation,mother,18,3,0,4,13,12,9,0
GP,M,R,LE3,T,no,no,yes,yes,no,yes,no,no,health,health,home,father,21,2,0,96,16,19,19,0
GP,F,R,GT3,A,no,yes,yes,no,no,yes,no,yes,other,at_home,reputation,mother,20,4,3,48,13,13,15,1
GP,M,U,LE3,T,yes,yes,yes,no,yes,yes,yes,no,at_home,teacher,other,other,15,2,0,68,10,7,7,1
MS,M,U,GT3,A,no,no,no,no,yes,no,no,yes,other,other,home,mother,17,2,0,91,9,10,11,1
MS,M,U,GT3,T,no,no,yes,no,no,yes,no,no,health,at_home,home,father,15,1,1,20,17,20,21,0
MS,M,R,GT3,A,yes,no,no,no,no,no,yes,no,other,health,other,mother,16,4,2,7,5,3,6,1
MS,M,U,LE3,T,yes,no,no,yes,yes,yes,no,no,health,at_home,reputation,other,16,2,0,65,19,17,16,0
GP,M,R,LE3,T,yes,no,no,no,no,no,yes,no,other,health,course,father,21,3,3,36,7,7,10,1
MS,F,R,GT3,A,yes,no,no,no,no,yes,no,no,health,services,reputation,father,18,2,3,13,12,15,16,0
MS,M,U,GT3,T,yes,no,no,no,yes,no,yes,yes,other,teacher,course,mother,21,3,1,33,15,17,17,0
GP,F,R,LE3,A,no,no,no,no,yes,no,no,no,at_home,health,reputation,mother,17,2,0,59,5,3,4,1
GP,F,R,GT3,T,yes,no,no,no,no,no,no,no,at_home,services,other,mother,20,4,2,60,5,5,8,1
MS,F,U,LE3,A,yes,yes,no,no,no,yes,no,no,other,at_home,reputation,other,17,4,0,45,16,15,18,0
MS,F,R,LE3,A,yes,yes,no,no,yes,yes,yes,yes,other,teacher,reputation,father,19,4,3,20,12,10,10,1
GP,M,U,LE3,A,no,no,yes,no,no,yes,yes,yes,health,health,other,father,18,1,1,90,15,18,18,1
MS,M,R,GT3,T,no,no,no,yes,no,yes,no,yes,health,health,other,father,17,2,0,17,18,20,19,0
GP,M,U,GT3,A,no,no,yes,yes,no,no,yes,no,health,teacher,home,father,16,4,2,60,11,12,13,1
GP,F,U,LE3,T,no,yes,yes,no,yes,no,no,yes,services,at_home,reputation,father,18,3,1,68,6,3,4,1
GP,M,R,GT3,A,no,no,no,no,no,yes,yes,no,other,at_home,other,other,19,3,1,33,10,9,12,1
GP,M,U,GT3,A,no,yes,no,yes,yes,yes,no,no,other,other,other,father,19,2,3,81,17,20,17,1
MS,M,R,LE3,A,no,no,yes,no,no,no,yes,no,other,at_home,home,mother,21,4,3,53,17,15,12,1
GP,F,R,LE3,T,yes,no,no,no,no,no,yes,no,other,teacher,other,other,20,1,2,98,13,16,16,1
GP,F,U,GT3,T,yes,no,no,yes,no,yes,yes,no,health,services,home,other,16,4,3,89,12,10,12,1
MS,M,R,LE3,T,no,no,no,no,yes,yes,no,no,health,teacher,other,father,21,2,0,28,10,13,12,0
GP,F,U,GT3,A,yes,yes,yes,no,no,yes,yes,no,services,health,home,mother,20,1,0,40,6,9,7,1
MS,F,R,LE3,T,yes,no,yes,no,yes,yes,yes,yes,health,other,reputation,mother,17,3,1,91,15,15,18,0
MS,M,R,LE3,T,no,yes,no,yes,yes,no,yes,yes,other,other,other,father,16,4,2,69,19,18,19,1
MS,F,U,GT3,A,no,yes,yes,yes,no,yes,no,no,other,services,other,other,19,4,3,89,7,4,5,1
GP,F,R,GT3,A,no,no,yes,yes,no,yes,yes,yes,teacher,health,reputation,father,18,3,1,57,7,4,4,1
MS,M,R,GT3,T,yes,yes,yes,no,yes,no,yes,no,health,at_home,reputation,other,17,2,1,81,18,18,18,0
MS,F,R,GT3,T,yes,no,no,yes,yes,no,yes,yes,teacher,at_home,reputation,father,16,1,2,29,13,13,14,1
GP,F,R,GT3,T,yes,yes,no,yes,yes,yes,yes,no,other,at_home,home,mother,20,3,3,32,13,13,13,1
MS,F,R,LE3,A,yes,yes,yes,no,yes,no,yes,yes,health,teacher,other,father,17,1,2,62,9,7,6,1
MS,F,R,LE3,A,no,no,yes,yes,yes,yes,yes,no,other,at_home,other,mother,18,2,2,95,18,21,22,0
